step,num_agents,num_predators,num_prey,predators,prey,rewards,cumulative_rewards,terminations,death_causes,predators_ate
258,32,22,10,['type_1_predator_7'],[],{},{},{},{},[]
259,33,22,11,[],[],{},{},{},{},[]
260,33,22,11,[],[],{},{},{},{},[]
261,33,22,11,[],[],{},{},{},{},[]
262,32,21,11,[],[],{},{},{},{},[]
263,32,22,10,['type_1_predator_2'],[],{},{},{},{},[]
264,31,22,9,['type_1_predator_13'],[],{},{},{},{},[]
265,30,21,9,[],[],{},{},{},{},[]
266,28,20,8,[],[],{},{},{},{},[]
267,27,19,8,[],[],{},{},{},{},[]
268,28,19,9,[],[],{},{},{},{},[]
269,29,19,10,[],[],{},{},{},{},[]
270,29,19,10,[],[],{},{},{},{},[]
271,28,18,10,[],[],{},{},{},{},[]
272,30,18,12,[],[],{},{},{},{},[]
273,30,18,12,[],[],{},{},{},{},[]
274,31,18,13,[],[],{},{},{},{},[]
275,32,18,14,[],[],{},{},{},{},[]
276,34,18,16,[],[],{},{},{},{},[]
277,35,18,17,[],[],{},{},{},{},[]
278,33,17,16,['type_1_predator_8'],[],{},{},{},{},[]
279,32,17,15,['type_1_predator_0'],[],{},{},{},{},[]
280,32,17,15,['type_1_predator_20'],[],{},{},{},{},[]
281,32,18,14,['type_1_predator_2'],[],{},{},{},{},[]
282,32,18,14,[],[],{},{},{},{},[]
283,32,18,14,[],[],{},{},{},{},[]
284,33,18,15,[],[],{},{},{},{},[]
285,32,18,14,['type_1_predator_0'],[],{},{},{},{},[]
286,32,18,14,[],[],{},{},{},{},[]
287,32,19,13,['type_1_predator_7'],[],{},{},{},{},[]
288,33,19,14,[],[],{},{},{},{},[]
289,33,19,14,[],[],{},{},{},{},[]
290,35,19,16,[],[],{},{},{},{},[]
291,35,19,16,[],[],{},{},{},{},[]
292,33,18,15,['type_1_predator_20'],[],{},{},{},{},[]
293,35,17,18,[],[],{},{},{},{},[]
294,32,16,16,['type_1_predator_13', 'type_1_predator_20'],[],{},{},{},{},[]
295,33,17,16,['type_1_predator_0'],[],{},{},{},{},[]
296,33,17,16,[],[],{},{},{},{},[]
297,33,17,16,['type_1_predator_9'],[],{},{},{},{},[]
298,33,17,16,[],[],{},{},{},{},[]
299,35,17,18,[],[],{},{},{},{},[]
300,35,16,19,[],[],{},{},{},{},[]
301,33,14,19,['type_1_predator_6'],[],{},{},{},{},[]
302,34,15,19,['type_1_predator_13'],[],{},{},{},{},[]
303,34,15,19,[],[],{},{},{},{},[]
304,34,16,18,['type_1_predator_0', 'type_1_predator_31'],[],{},{},{},{},[]
305,34,15,19,[],[],{},{},{},{},[]
306,35,15,20,[],[],{},{},{},{},[]
307,34,14,20,[],[],{},{},{},{},[]
308,35,15,20,['type_1_predator_6'],[],{},{},{},{},[]
309,35,15,20,[],[],{},{},{},{},[]
310,35,15,20,['type_1_predator_7'],[],{},{},{},{},[]
311,36,15,21,[],[],{},{},{},{},[]
312,36,15,21,[],[],{},{},{},{},[]
313,36,15,21,['type_1_predator_12'],[],{},{},{},{},[]
314,36,15,21,[],[],{},{},{},{},[]
315,35,14,21,[],[],{},{},{},{},[]
316,35,14,21,[],[],{},{},{},{},[]
317,35,14,21,['type_1_predator_13'],[],{},{},{},{},[]
318,36,14,22,[],[],{},{},{},{},[]
319,35,13,22,[],[],{},{},{},{},[]
320,36,13,23,[],[],{},{},{},{},[]
321,36,12,24,[],[],{},{},{},{},[]
322,37,12,25,['type_1_predator_0'],[],{},{},{},{},[]
323,39,13,26,['type_1_predator_0'],[],{},{},{},{},[]
324,39,13,26,[],[],{},{},{},{},[]
325,38,13,25,['type_1_predator_0'],[],{},{},{},{},[]
326,39,13,26,[],[],{},{},{},{},[]
327,38,13,25,['type_1_predator_12', 'type_1_predator_4'],[],{},{},{},{},[]
328,38,14,24,['type_1_predator_12', 'type_1_predator_4'],[],{},{},{},{},[]
329,39,14,25,[],[],{},{},{},{},[]
330,39,13,26,[],[],{},{},{},{},[]
331,38,14,24,['type_1_predator_5', 'type_1_predator_6'],[],{},{},{},{},[]
332,36,14,22,['type_1_predator_1', 'type_1_predator_4'],[],{},{},{},{},[]
333,36,14,22,[],[],{},{},{},{},[]
334,36,14,22,[],[],{},{},{},{},[]
335,36,14,22,['type_1_predator_6'],[],{},{},{},{},[]
336,35,15,20,['type_1_predator_20', 'type_1_predator_4'],[],{},{},{},{},[]
337,37,15,22,[],[],{},{},{},{},[]
338,37,16,21,['type_1_predator_10', 'type_1_predator_31'],[],{},{},{},{},[]
339,36,16,20,['type_1_predator_31'],[],{},{},{},{},[]
340,36,16,20,[],[],{},{},{},{},[]
341,37,16,21,[],[],{},{},{},{},[]
342,37,15,22,[],[],{},{},{},{},[]
343,36,15,21,[],[],{},{},{},{},[]
344,36,15,21,[],[],{},{},{},{},[]
345,38,15,23,[],[],{},{},{},{},[]
346,37,15,22,['type_1_predator_1'],[],{},{},{},{},[]
347,38,15,23,[],[],{},{},{},{},[]
348,38,15,23,[],[],{},{},{},{},[]
349,37,16,21,['type_1_predator_14', 'type_1_predator_6'],[],{},{},{},{},[]
350,37,17,20,['type_1_predator_1', 'type_1_predator_12'],[],{},{},{},{},[]
351,36,17,19,['type_1_predator_9'],[],{},{},{},{},[]
352,37,17,20,[],[],{},{},{},{},[]
353,36,19,17,['type_1_predator_11', 'type_1_predator_12', 'type_1_predator_5', 'type_1_predator_9'],[],{},{},{},{},[]
354,36,19,17,[],[],{},{},{},{},[]
355,37,19,18,[],[],{},{},{},{},[]
356,36,19,17,['type_1_predator_14'],[],{},{},{},{},[]
357,37,19,18,[],[],{},{},{},{},[]
358,37,19,18,[],[],{},{},{},{},[]
359,36,19,17,['type_1_predator_8'],[],{},{},{},{},[]
360,34,18,16,['type_1_predator_10', 'type_1_predator_13'],[],{},{},{},{},[]
361,34,18,16,[],[],{},{},{},{},[]
362,35,19,16,['type_1_predator_11', 'type_1_predator_9'],[],{},{},{},{},[]
363,35,20,15,['type_1_predator_10'],[],{},{},{},{},[]
364,36,21,15,['type_1_predator_4'],[],{},{},{},{},[]
365,35,20,15,[],[],{},{},{},{},[]
366,35,21,14,['type_1_predator_5'],[],{},{},{},{},[]
367,33,21,12,['type_1_predator_10', 'type_1_predator_8'],[],{},{},{},{},[]
368,33,21,12,[],[],{},{},{},{},[]
369,33,21,12,[],[],{},{},{},{},[]
370,31,21,10,['type_1_predator_11', 'type_1_predator_17'],[],{},{},{},{},[]
371,31,22,9,['type_1_predator_8'],[],{},{},{},{},[]
372,31,22,9,[],[],{},{},{},{},[]
373,32,22,10,[],[],{},{},{},{},[]
374,32,22,10,[],[],{},{},{},{},[]
375,32,22,10,[],[],{},{},{},{},[]
376,31,22,9,['type_1_predator_4'],[],{},{},{},{},[]
377,32,22,10,[],[],{},{},{},{},[]
378,33,22,11,[],[],{},{},{},{},[]
379,34,22,12,[],[],{},{},{},{},[]
380,35,23,12,['type_1_predator_4'],[],{},{},{},{},[]
381,35,23,12,[],[],{},{},{},{},[]
382,36,23,13,[],[],{},{},{},{},[]
383,35,22,13,[],[],{},{},{},{},[]
384,34,22,12,['type_1_predator_7'],[],{},{},{},{},[]
385,33,22,11,['type_1_predator_0'],[],{},{},{},{},[]
386,33,22,11,[],[],{},{},{},{},[]
387,32,20,12,[],[],{},{},{},{},[]
388,33,20,13,[],[],{},{},{},{},[]
389,33,20,13,[],[],{},{},{},{},[]
390,31,20,11,['type_1_predator_0', 'type_1_predator_7'],[],{},{},{},{},[]
391,31,20,11,[],[],{},{},{},{},[]
392,31,20,11,['type_1_predator_8'],[],{},{},{},{},[]
393,31,20,11,[],[],{},{},{},{},[]
394,31,20,11,[],[],{},{},{},{},[]
395,30,20,10,['type_1_predator_3'],[],{},{},{},{},[]
396,30,20,10,[],[],{},{},{},{},[]
397,30,20,10,[],[],{},{},{},{},[]
398,31,19,12,[],[],{},{},{},{},[]
399,31,19,12,['type_1_predator_10'],[],{},{},{},{},[]
400,30,18,12,[],[],{},{},{},{},[]
401,29,17,12,[],[],{},{},{},{},[]
402,28,16,12,[],[],{},{},{},{},[]
403,28,16,12,['type_1_predator_10'],[],{},{},{},{},[]
404,29,16,13,[],[],{},{},{},{},[]
405,28,15,13,[],[],{},{},{},{},[]
406,29,15,14,[],[],{},{},{},{},[]
407,30,15,15,[],[],{},{},{},{},[]
408,29,15,14,['type_1_predator_8'],[],{},{},{},{},[]
409,28,15,13,['type_1_predator_4'],[],{},{},{},{},[]
410,27,14,13,[],[],{},{},{},{},[]
411,28,14,14,[],[],{},{},{},{},[]
412,26,14,12,['type_1_predator_21', 'type_1_predator_8'],[],{},{},{},{},[]
413,26,14,12,[],[],{},{},{},{},[]
414,27,14,13,[],[],{},{},{},{},[]
415,28,15,13,['type_1_predator_10'],[],{},{},{},{},[]
416,29,15,14,[],[],{},{},{},{},[]
417,29,16,13,['type_1_predator_8'],[],{},{},{},{},[]
418,28,15,13,['type_1_predator_17'],[],{},{},{},{},[]
419,28,15,13,[],[],{},{},{},{},[]
420,29,15,14,[],[],{},{},{},{},[]
421,31,15,16,[],[],{},{},{},{},[]
422,31,15,16,[],[],{},{},{},{},[]
423,32,14,18,[],[],{},{},{},{},[]
424,28,13,15,['type_1_predator_17', 'type_1_predator_21', 'type_1_predator_7'],[],{},{},{},{},[]
425,29,13,16,[],[],{},{},{},{},[]
426,29,13,16,[],[],{},{},{},{},[]
427,31,14,17,['type_1_predator_17'],[],{},{},{},{},[]
428,29,14,15,['type_1_predator_10', 'type_1_predator_7'],[],{},{},{},{},[]
429,31,15,16,['type_1_predator_7'],[],{},{},{},{},[]
430,32,15,17,['type_1_predator_11'],[],{},{},{},{},[]
431,32,15,17,['type_1_predator_8'],[],{},{},{},{},[]
432,32,13,19,[],[],{},{},{},{},[]
433,32,13,19,[],[],{},{},{},{},[]
434,33,13,20,[],[],{},{},{},{},[]
435,34,13,21,[],[],{},{},{},{},[]
436,37,13,24,[],[],{},{},{},{},[]
437,37,12,25,[],[],{},{},{},{},[]
438,37,13,24,['type_1_predator_1', 'type_1_predator_6', 'type_1_predator_8'],[],{},{},{},{},[]
439,35,14,21,['type_1_predator_0', 'type_1_predator_10', 'type_1_predator_21'],[],{},{},{},{},[]
440,34,14,20,['type_1_predator_8'],[],{},{},{},{},[]
441,34,14,20,[],[],{},{},{},{},[]
442,35,14,21,[],[],{},{},{},{},[]
443,35,14,21,['type_1_predator_4'],[],{},{},{},{},[]
444,35,15,20,['type_1_predator_21'],[],{},{},{},{},[]
445,36,15,21,[],[],{},{},{},{},[]
446,35,15,20,[],[],{},{},{},{},[]
447,35,15,20,[],[],{},{},{},{},[]
448,35,15,20,[],[],{},{},{},{},[]
449,35,15,20,['type_1_predator_6'],[],{},{},{},{},[]
450,36,15,21,[],[],{},{},{},{},[]
451,35,14,21,[],[],{},{},{},{},[]
